"equipo","salario","golesExt","golesEsp","pos","puntos","abrv","colpos","col1","col2","url"
"FC Barcelona",507.24,63,7,1,93,"FCB","gold","darkred","darkblue","https://3.bp.blogspot.com/-PK3DYI62Zbc/VeUuqiu5B6I/AAAAAAAAAbE/kiNbuWNemKg/s1600/FC%2BBarcelona.png"
"Real Madrid",499.71,74,12,3,76,"MAD","navy","lightgrey","yellow","https://1.bp.blogspot.com/-GdH-qS3q4Ws/VeUusyxStTI/AAAAAAAAAb4/_dJZ3M_kVBU/s1600/Real%2BMadrid.png"
"Atlético Madrid",237.77,52,9,2,79,"ATM","navy","red","lightgrey","https://3.bp.blogspot.com/-DBHZ1EByL3o/VeUuvSp_tAI/AAAAAAAAAco/eosFWFPgQaQ/s1600/Atletico%2Bde%2BMadrid.png"
"Sevilla FC",159.64,47,15,7,58,"SEV","darkorange","darksalmon","lightgrey","https://3.bp.blogspot.com/-cBF3bOKCi6I/VeUutwGtm3I/AAAAAAAAAcI/A5QFjcBqaIQ/s1600/Sevilla.png"
"Valencia CF",113.31,51,15,4,73,"VAL","navy","darkorange","black","https://1.bp.blogspot.com/-WYv_9ms2VL4/VeUut2_fUaI/AAAAAAAAAcM/gh4ysVhER2Y/s1600/Valencia.png"
"Villarreal CF",87.92,35,8,5,61,"VIL","darkorange","yellow","black","https://4.bp.blogspot.com/-ZIJUbyzDL5k/VeUuukWxmUI/AAAAAAAAAcY/Dnf4efV0WZ4/s1600/Villareal.png"
"Athletic Bilbao",68.57,0,30,16,43,"ATH","greenyellow","lightgrey","maroon","https://3.bp.blogspot.com/-LyEvKrayTqA/VeUuoBIBaXI/AAAAAAAAAaU/P8icHnTAhW8/s1600/Athetlic%2BClub%2BBilbao.png"
"Real Betis Balompié",65.46,51,43,6,60,"BET","darkorange","green","lightgrey","https://cdn.staticneo.com/w/pes/f/f1/Real_Betis.png"
"Real Sociedad",64.83,39,19,11,49,"SOC","greenyellow","midnightblue","lightgrey","https://1.bp.blogspot.com/-HovLSAl4IPI/VeUutE6yquI/AAAAAAAAAb8/5VdQGsyH8v8/s1600/Real%2BSociedad.png"
"RCD Espanyol",60.96,25,17,13,49,"ESP","greenyellow","blue","lightgrey","https://4.bp.blogspot.com/-YtRUCRQ6A9M/VeUuqG0ky7I/AAAAAAAAAa4/F6_CJj6w6bA/s1600/Espanyol.png"
"Málaga CF",53.56,14,2,20,20,"MAL","red","royalblue","lightgrey","https://3.bp.blogspot.com/-HbogrHsyQ-g/VeUusBBXC2I/AAAAAAAAAbg/wnqcHde4TTM/s1600/M%25C3%25A1laga.png"
"Celta de Vigo",40.94,39,19,12,49,"CEL","greenyellow","lightskyblue","darkcyan","https://2.bp.blogspot.com/-xXpHnQHJD5w/VeUuoRE8LLI/AAAAAAAAAaY/fnKQr19mkqA/s1600/Celta%2Bde%2BVigo.png"
"Deportivo de La Coruña",40.74,20,12,18,29,"DEP","red","blue","lightgrey","https://4.bp.blogspot.com/-fq-DVOkXHA8/VeUupWH_V2I/AAAAAAAAAao/cwAYcaqMaMc/s1600/Deportivo%2Bla%2BCoru%25C3%25B1a.png"
"Deportivo Alavés",37.87,30,12,14,47,"ALA","greenyellow","lightblue","blue","http://www.sitographics.com/enciclog/futbol/Image/Alaves.gif"
"CD Leganés",34.69,12,3,17,17,"LEG","greenyellow","mediumblue","lightgrey","https://www.futwiz.com/assets/img/fifa16/badges/100888.png"
"SD Eibar",33.21,23,10,9,51,"EIB","greenyellow","maroon","blue","https://2.bp.blogspot.com/-w0gOA2BGhiM/VeUuptEAQnI/AAAAAAAAAas/k5geFMggvqc/s1600/Eibar.png"
"Levante UD",32.31,32,14,15,46,"LEV","greenyellow","darkred","blue","https://3.bp.blogspot.com/-yZxzSBmpKyQ/VeUuroCBMEI/AAAAAAAAAbY/pJnCy3eHSt8/s1600/Levante.png"
"Girona FC",31.15,23,0,10,51,"GIR","greenyellow","red","lightgrey","https://i.pinimg.com/originals/b4/47/1d/b4471def106a6255f61fb26f790cee1a.jpg"
"UD Las Palmas",29.45,17,2,19,22,"PAL","red","yellow","darkblue","https://www.pasionamarilla.com/galeria/equipos/2017-05-06-22-04-59-UD-Las-Palmas256.png"
"Getafe CF",28.92,20,19,8,55,"GET","greenyellow","green","blue","https://1.bp.blogspot.com/-uLxMa12VzI8/VeUuq_7WWkI/AAAAAAAAAbM/MSe-ymCkfNU/s1600/Getafe.png"
